"0","0"," ","","","0","11"
"1","0"," ","","","0","11"
"2","0"," ","","","0","11"
"3","0"," ","","","0","11"
"4","0"," ","","","0","11"
"5","0"," ","","","0","11"
"6","0"," ","","","0","11"
"7","0"," ","","","0","11"
"8","0"," ","","","0","11"
"9","0"," ","","","0","11"
"0","1"," ","","","0","11"
"1","1"," ","","","0","11"
"2","1"," ","","","0","11"
"3","1"," ","","","0","11"
"4","1"," ","","","0","11"
"5","1"," ","","","0","11"
"6","1"," ","","","0","11"
"7","1"," ","","","0","11"
"8","1"," ","","","0","11"
"9","1"," ","","","0","11"
"0","2"," ","","","0","11"
"1","2"," ","","","0","11"
"2","2"," ","","","0","11"
"3","2"," ","","","0","11"
"4","2"," ","","","0","11"
"5","2"," ","","","0","11"
"6","2"," ","","","0","11"
"7","2"," ","","","0","11"
"8","2"," ","","","0","11"
"9","2"," ","","","0","11"
"0","3"," ","","","0","11"
"1","3"," ","","","0","11"
"2","3"," ","","","0","11"
"3","3"," ","","","0","11"
"4","3"," ","","","0","11"
"5","3"," ","","","0","11"
"6","3"," ","","","0","11"
"7","3"," ","","","0","11"
"8","3"," ","","","0","11"
"9","3"," ","","","0","11"
"0","4"," ","","","0","11"
"1","4"," ","","","0","11"
"2","4"," ","","","0","11"
"3","4"," ","","","0","11"
"4","4"," ","","","0","11"
"5","4"," ","","","0","11"
"6","4"," ","","","0","11"
"7","4"," ","","","0","11"
"8","4"," ","","","0","11"
"9","4"," ","","","0","11"
"0","5"," ","","","0","11"
"1","5"," ","","","0","11"
"2","5"," ","","","0","11"
"3","5"," ","","","0","11"
"4","5"," ","","","0","11"
"5","5"," ","","","0","11"
"6","5"," ","","","0","11"
"7","5"," ","","","0","11"
"8","5"," ","","","0","11"
"9","5","Yellow","Curtis aka Impaler",,"0","11"
"0","6"," ","","","0","11"
"1","6"," ","","","0","11"
"2","6","Red","cam",,"0","11"
"3","6","Red","cam",,"0","11"
"4","6"," ","","","0","11"
"5","6"," ","","","0","11"
"6","6"," ","","","0","11"
"7","6"," ","","","0","11"
"8","6"," ","","","0","11"
"9","6","Yellow","Curtis aka Impaler",,"0","11"
